"gene_symbol","gene_name","log2FoldChange","AveExpr","t","pvalue","padj","B"
"ENSMUSG00000074564","Unknown / Unannotated",-1.93268891896721,2.44540196757513,-12.5862938261038,2.622862627535e-33,1.08190460523191e-28,63.8578441900572
"ENSMUSG00000096736","Unknown / Unannotated",-1.92815760511782,3.33977794164803,-12.4251250867378,1.43583880741324e-32,2.96134574834943e-28,62.2218626030884
"ENSMUSG00000095280","Unknown / Unannotated",-1.70092268553104,3.38313444198047,-11.7579733966871,1.39535389902476e-29,1.91856509936241e-25,55.6026216588319
"ENSMUSG00000098178","Unknown / Unannotated",1.01372005350798,6.33192516087354,11.5141214604245,1.61508826306638e-28,1.66551939408062e-24,53.2466818486066
"ENSMUSG00000096201","Unknown / Unannotated",-1.80367249355471,3.5923100440262,-11.0450155295082,1.62015508901482e-26,1.33659554533545e-22,48.8139787826823
"Plk5","polo like kinase 5",-1.63703395977894,1.89580042730253,-10.8250907307073,1.34008750945392e-25,9.21287827957743e-22,46.7821360782237
"ENSMUSG00000091028","Unknown / Unannotated",-1.80312108281075,4.34294834032176,-10.3559120100629,1.09435561404702e-23,6.44872496054651e-20,42.5494132139419
"C1ql2","complement component 1, q subcomponent-like 2",-1.99461800762803,2.69691407799768,-10.2691587711212,2.43097633593431e-23,1.25344178601193e-19,41.7822850143536
"ENSMUSG00000075015","Unknown / Unannotated",-1.39814924086832,5.05883101583809,-10.0660919742547,1.5435883132489e-22,6.45901776011672e-19,40.0059533603059
"ENSMUSG00000097312","Unknown / Unannotated",-1.42304835215638,5.07356338268944,-10.0645060581265,1.5658604475543e-22,6.45901776011672e-19,39.9921878392481
"ENSMUSG00000095891","Unknown / Unannotated",-1.4373716981979,5.04762653284555,-9.95144900157283,4.32867982547816e-22,1.62321558291953e-18,39.0151891878559
"ENSMUSG00000110831","Unknown / Unannotated",0.418285424016408,3.9281684502339,9.93727269638096,4.91428130026688e-22,1.68924324462257e-18,38.8932857643865
"ENSMUSG00000096385","Unknown / Unannotated",-1.38818534447597,5.53536580101644,-9.74684464266681,2.66582752912438e-21,8.45867074991165e-18,37.2689081567467
"Slc8a1","solute carrier family 8 (sodium/calcium exchanger), member 1",1.50989475641382,3.81901476799253,9.62347442643134,7.86602075440089e-21,2.31761064355916e-17,36.2296963870335
"ENSMUSG00000095186","Unknown / Unannotated",-1.76668490185755,4.96913091888804,-9.52075597805372,1.92076704194509e-20,5.28198131421286e-17,35.3724157226774
"Tenm4","teneurin transmembrane protein 4",1.87163505201561,3.73031756656711,9.43614733960144,3.98478136007223e-20,1.02730153951012e-16,34.6717584900817
"ENSMUSG00000095547","Unknown / Unannotated",-1.40828656052235,5.15427475654302,-9.08631257211373,7.71295597776395e-19,1.8714807125105e-15,31.8279434961412
"Nrn1","neuritin 1",-1.34751885123925,2.7664457375675,-8.82747124327914,6.52367533737233e-18,1.4949726888404e-14,29.779875790296
"Gsg1l","GSG1-like",-1.22195408150769,1.70113890635636,-8.7635026115165,1.09736556705659e-17,2.38238064607986e-14,29.2811872985818
"ENSMUSG00000096519","Unknown / Unannotated",-1.77221978759479,3.34064799138886,-8.700424704246,1.82714830017888e-17,3.76840201170392e-14,28.7923625451813
"ENSMUSG00000095041","Unknown / Unannotated",-1.18268178485444,5.00383450197151,-8.41780373370027,1.72974423266837e-16,3.39762951682561e-13,26.6380955030845
"Ywhae","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",-1.04462359035579,3.60124473087534,-8.29241031722404,4.59954315289141e-16,8.62393434152808e-13,25.7012869408532
"Nrgn","neurogranin",-1.04351208680918,2.60352627905286,-8.24121428798788,6.83329016905575e-16,1.22550602688426e-12,25.3221932842053
"ENSMUSG00000101885","Unknown / Unannotated",-0.778653202780396,1.15295346539953,-8.19995187852782,9.38759134803979e-16,1.56022859431992e-12,25.0180924024181
"Ighm","immunoglobulin heavy constant mu",-0.630658409203211,0.77512378301197,-8.19900432693866,9.45616011491141e-16,1.56022859431992e-12,25.0111241102268
"Ntng1","netrin G1",-1.25325475821366,2.52987348066612,-8.10042991970973,2.00854202920825e-15,3.1865519293389e-12,24.2899207280015
"Gm34567","predicted gene, 34567",-1.00290361925005,1.44073595925836,-8.04774253249451,2.99512608517385e-15,4.57577614397541e-12,23.9074675007383
"Rps23","ribosomal protein S23",-0.987104273744031,2.07301370858372,-7.99913649543752,4.32194814242212e-15,6.36700139024178e-12,23.5565170236085
"ENSMUSG00000075014","Unknown / Unannotated",-0.962706975889685,6.44233351196177,-7.95083286516665,6.21104247792415e-15,8.83445831627218e-12,23.2095395799797
